"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","fsa","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","tay","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mpep","fed","sotp","dea","samf","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Bethany Hall Inc/Recovery Home for","Chemically Dependent Women","1109 Franklin Road SW","","Roanoke","VA","24016","","Roanoke City","540-343-4261 x301","","","540-343-4261 x300","http://www.archservices.org","37.2637115","-79.9470564","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","1","1","","1","","","","","","","","1","1","1","1","1","1","1","","1","1","","1","1","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","","","","","","","","","1","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","","1","","","","","","","","","","1","1","","1","1","","","1","","","1","1","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dept of Psych and Behav Medicine","CRMH Rehabilitation Center","2017 South Jefferson Street","","Roanoke","VA","24014","","Roanoke City","540-981-7000","","800-284-8898","","http://www.carilionclinic.org/","37.2502922","-79.9446888","SU","1","1","","","1","1","1","1","1","","","","","","","","","","1","","1","1","1","1","","","1","","1","","","","1","1","","","1","1","1","","1","","","","","","","","","","1","1","1","","","","","","1","1","1","1","1","1","1","","","1","","","","","","","","","","1","","","","","","","","1","1","1","","","1","","1","1","1","1","","1","","1","","","","1","","1","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","","1","","1","1","1","","","1","1","1","1","","1","","1","1","1","1","","","1","1","","","","","","","1","1","","","","","","","","","1","1","1","1","","","1","","1","1","","1","","","","","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Intercept True North Health Clinic","","5673 Airport Road","","Roanoke","VA","24012","","Roanoke City","540-523-8080 x1","","","","http://www.intercepttruenorth.com","37.3238193","-79.9609321","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","1","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","","1","","","1","1","","","1","1","1","","","1","1","1","1","1","","","1","","","","","","1","","1","1","1","1","1","","","","","1","","1","1","1","1","1","","1","","1","","1","1","","1","","1","","1","1","","","1","1","","1","1","","","","","","","1","1","1","1","","","1","","","","","1","","","","","","","","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Merakey Parkside Recovery","","2623 Park Avenue","","Petersburg","VA","23805","","Petersburg City","804-722-5496","","","","http://","37.1959762","-77.3770643","SU","1","1","1","","1","","","1","","","1","","","","","1","","1","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","","","","1","","","","","","1","","","1","1","","","1","","1","","","","","1","","","","","1","","","","","","","","","1","","","","","","","1","","1","1","","","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","1","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","","","","","1","","","","1","1","1","","1","","","","1","1","","","1","","","1","1","","","1","","","","","","","1","1","1","","1","1","1","","","","","1","","","1","1","","1","1","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Spero Health","Roanoke","2502 Broadway Avenue SW","","Roanoke","VA","24014","","Roanoke City","540-329-5325","","","","http://sperohealth.com","37.248881","-79.9559399","SU","1","","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","","1","1","1","","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","","","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","","1","1","1","","","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","","","","","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Hanover County Community Service Board","","8475 Bell Creek Road","","Mechanicsville","VA","23116","","Hanover","804-365-4222","","","","http://www.hanovercounty.gov","37.6392404","-77.3528286","SU","1","","","","","","","","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","1","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","","","","","1","","","","","1","","","1","","","","","","","","1","1","1","","","1","","1","1","1","","1","","1","","","1","1","","","","","","","1","","","1","1","","","","","","","","","","1","","1","","","","1","","1","","","1","","","","","1","1","","1","","","","","1","","","","1","","1","","","","1","1","","1","","","","","","","","","1","1","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Poplar Springs Hospital","","350 Poplar Drive","","Petersburg","VA","23805","","Petersburg City","804-733-6874","Intakes","804-733-6874 x3309","866-546-2229","http://www.poplarsprings.com","37.1873426","-77.3591622","SU","1","","","","1","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","1","1","","1","","","","1","1","","","","","","1","","","","","","","","","","","1","","","","","","1","1","1","1","1","1","","","","1","","","","1","1","1","","","","","1","1","","1","","1","1","","","","","","","","1","1","1","","","","","1","1","","","","","1","","","1","1","","","1","","","","","1","1","1","1","","","","","","","1","","","1","","1","","1","1","1","1","","","1","1","","","","","1","1","","","","1","","","","","1","","1","","","1","","1","","","","","","","","","","1","","","1","1","1","","1","","","","","","1","","","","","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Petersburg","10531 South Crater Road","","Petersburg","VA","23805","","Petersburg City","800-805-6989","","","","http://www.crossroadstreatmentcenters.com/","37.16768","-77.357032","SU","1","","","","1","","","1","","","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","1","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Petersburg PC","10543 South Crater Road","","Petersburg","VA","23805","","Petersburg City","804-431-5585","","","800-805-6989","http://www.crossroadtreamentcenters.com","37.1672778","-77.3566176","SU","1","1","1","1","1","1","","1","","","1","","","","","1","","1","","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","","1","","","","1","1","1","","1","","","","1","","","1","1","1","","","","1","","","","1","1","1","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","1","1","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Piedmont Community Services","Franklin County Satellite Clinic","30 Technology Drive","","Rocky Mount","VA","24151","","Franklin","540-483-0582","","","540-483-5044","http://www.piedmontcsb.org","37.0154819","-79.8928121","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","1","1","","","1","","1","1","1","1","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","","","","1","1","","","1","","1","1","1","","1","1","","","1","1","","1","","1","","1","1","","","1","","1","","1","1","1","","","1","","","","","","","1","","","1","","","","","1","","","","1","1","","1","","1","","","","1","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Danville","1555 Meadowview Drive","Suite 7","Danville","VA","24541","","Danville City","800-805-6989","","","","http://www.crossroadstreatmentcenters.com/","36.6054446","-79.5267528","SU","1","","","","1","","","1","1","","","","","","","","","","","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","1","1","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","1","","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Danville PC","1555 Meadowview Drive","Suite 5","Danville","VA","24541","","Danville City","434-685-1570","","","800-805-6989","http://www.crossroadstreatmentcenters.com","36.6054446","-79.5267528","SU","1","","1","","","","","","","","1","","","","","1","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","","","","1","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","1","","","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","1","1","1","","","","1","1","","","1","","","","1","1","1","","","","","1","","","","1","","","","","","1","","","","","1","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Veterans Affairs Medical Center","Mental Health Service","1970 Roanoke Boulevard","","Salem","VA","24153","6404","Salem","540-982-2463 x2515","","540-982-2463 x2089","","http://www.va.gov/","37.2761016","-80.0236843","SU","1","1","","","1","1","","1","1","1","","","","","","","","","1","","1","1","1","1","","","1","1","1","1","","","1","1","","","1","1","1","","1","","1","","","","","","","","","","1","1","","","","","1","","","","1","1","1","","","1","","1","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","","1","1","1","","","1","","","","","","","1","1","","","1","1","1","","1","1","","1","1","1","","","1","1","1","1","","1","","1","","","","1","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"LewisGale","Behavioral Health","1902 Braeburn Drive","","Salem","VA","24153","","Salem","540-772-2801","Intakes","800-541-9992","540-776-1100","http://www.lewisgale.com","37.2643745","-80.0277786","SU","1","1","","","","","","","","","","","","","1","","","","1","","","1","","1","","","1","","1","","","","","","","1","","1","1","","1","","","","","","","","","1","1","","1","","","","","","1","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","1","1","1","","","1","","1","1","1","1","1","","1","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","1","","","","","1","1","","","","","1","","1","1","1","","","","1","1","","1","1","1","1","1","","","","","","","","","1","","1","","","","","","1","","","","1","","1","1","","1","","","1","","1","","","1","","","","","1","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Williamsville Wellness Center","","10515 Cabaniss Lane","","Hanover","VA","23069","","Hanover","804-559-9959 x101","Intakes","804-559-9959 x123","804-559-9959 x303","http://www.williamsvillewellness.com","37.6972785","-77.3064844","SU","1","","","","","","","","1","1","","","","","","","","","1","","1","1","1","","1","","","1","","1","","","","","","","","","","","","","","","","","","","1","1","1","","","1","","","","","1","","","","1","","","","","","","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","","1","1","1","","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","1","","","","","","","","","1","","1","1","1","1","1","","","","","1","","1","1","1","","","","1","","","","","1","","1","","","","","","","","1","1","","","1","","","","","1","1","1","","1","1","","","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mount Regis Center","","125 Knotbreak Road","","Salem","VA","24153","","Salem","540-389-4761","","","800-317-6772","http://www.mtregis.com","37.2884905","-80.042228","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","","1","1","1","1","1","","","1","1","","","","","","","","","","","","","","1","","","","1","","","","","1","","","","1","","","","","","","1","","1","","","","","","","1","1","","1","","","","1","1","1","1","1","1","","1","1","1","1","1","","","","","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","","","","1","","","","1","","","1","","","","","1","","","","1","1","1","","1","","","","","1","","","","","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Alleghany Highlands Community Services","Guinan Center","311 South Monroe Avenue","","Covington","VA","24426","","Covington City","540-965-2135 x100","","540-965-2100 x0","","http://www.ahcsb.org","37.788647","-79.9892124","SU","1","1","","","1","1","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","","1","1","1","1","","1","","","","","1","","1","","","","","1","","","","1","","","","","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","","1","","","","","","","1","","1","1","","","","","","","1","1","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Emotional Care","","400 East Burwell Street","","Salem","VA","24153","4338","Salem","540-387-3105","","","","http://www.thecenter4u.com","37.291881","-80.0528375","SU","1","","","","1","","1","1","1","1","","","","","","","","","","","","","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","","","","","","","","","1","1","1","","1","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","","","1","","","","","","","","","","","","1","1","","","1","","","","","1","","1","","","","","","","","1","","","1","1","1","","1","1","","","","","","","","","","","1","1","","1","","1","1","1","1","","1","","1","","","","","","","1","1","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","1","1","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board","Caroline clinic","19254 Rogers Clark Boulevard","","Ruther Glen","VA","22546","","Caroline","804-633-9997","","540-373-3223","","http://www.rappahannockareacsb.org","37.9977082","-77.4172582","SU","1","","","","1","","","1","","","","","","","","1","","","","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","","","","","","1","","","","","1","1","1","1","1","","1","","","","","","","1","","","1","","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","1","","","","1","","","","1","","1","1","1","1","","","","","","1","","1","","1","1","1","","1","","1","","","","","","","1","1","","1","","","1","1","1","","1","","","","","","","","","1","","1","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board","Spotsylvania Clinic","7424 Brock Road","","Spotsylvania","VA","22553","","Spotsylvania","540-582-3980","","540-373-3223","","http://www.rappahannockareacsb.org","38.2024504","-77.5928801","SU","1","","","","1","","","1","","","","","","","","1","","","","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","","","","","","1","","","","","1","1","1","1","1","","1","","","","","","","1","","","1","","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","1","","","","1","","","","1","","1","1","1","1","","","","","","1","","1","","1","1","1","","1","","1","","","","","","","1","1","","1","","","1","1","1","","1","","","","","","","","","1","","1","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Medical Sports and Spine PLLC","","2002 Orange Road","Suite 201","Culpeper","VA","22701","","Culpeper","540-423-6239","","","","http://www.mypaincenter.org","38.4543162","-78.0020789","SU","1","","","","1","","","1","","","","","","","","","","","","","1","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","1","1","1","","","","","","","1","","","","","1","","","1","","","","","","","","","1","","1","1","","","","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Greensville/Emporia Counseling","","1101 Greensville County Circle","","Emporia","VA","23847","","Emporia City","434-348-8900","","","","http://www.d19csb.com/","36.736855","-77.5159444","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","","","","1","","","","","1","1","1","","1","","","1","","1","1","1","1","","","1","1","1","","","1","","1","1","1","","1","1","","","1","","1","1","","1","","1","1","","","","","","","","","","","","1","","","1","","","1","","","1","1","","","","","","","1","1","1","","1","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Culpeper Treatment Services","","571 James Madison Highway","Suite D","Culpeper","VA","22701","","Culpeper","540-485-4329","","540-547-3769","","http://","38.4803086","-77.9807351","SU","1","","1","","1","","","1","","","1","","","","","","","1","","","","1","","","","1","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","","","","","","","","1","","1","1","","","","","1","","","","","","","","","","1","1","1","","","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","","1","","","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Martinsville Treatment Services","","8500 A L Philpott Highway","Suite 3","Martinsville","VA","24112","","Henry","276-226-9925","","","","http://pinnacletreatment.com","36.6933756","-79.8305497","SU","1","","1","","1","","1","1","1","","1","","","","","","","1","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","","1","","","1","","","1","","","","","","","1","1","1","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","1","","1","","","","1","1","1","","1","","","","1","","1","1","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","1","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Boxwood Detox and Recovery Program","","15511 Guinn Lane","","Culpeper","VA","22701","","Culpeper","540-547-2760","","540-547-2760 x126","","http://www.rrcsb.org","38.492906","-77.957244","SU","1","1","","","","","","","1","1","","","","","","","","","1","","","1","1","1","","","","1","","1","","1","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","","","","","1","1","1","","","1","1","1","1","","","","1","","1","1","1","","1","1","1","","","","1","","","","","1","","","","","","","","","","","1","","","1","","1","","","","","1","","1","1","","1","1","","","","","1","1","1","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spero Health","Martinsville VA Clinic","314 Fairy Street","Suite B","Martinsville","VA","24112","","Henry","276-201-1647","","","","http://sperohealth.com/","36.6960322","-79.8598049","SU","1","","","","1","1","1","1","1","1","","","","","","1","","","","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","","1","1","1","","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","","","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","1","1","1","","1","1","1","","","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","","","","","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","","","","","","1","","","","","","1","1","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Piedmont Community Services","","24 Clay Street","","Martinsville","VA","24112","","Henry","276-632-7128","","","276-632-2108","http://www.piedmontcsb.org","36.691541","-79.867623","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","","","","","","1","","1","1","","","","","","","","","","","","","1","1","","","1","","1","1","1","1","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","","","","1","1","","","1","","1","1","1","","1","1","","","1","1","","1","","1","","1","1","","","1","","1","","1","1","1","","","1","","","","","","","1","","","1","","","","","1","","","","1","1","","1","","1","","","","1","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Counseling of","Fredericksburg PLC","420 Hudgins Road","Suite 201","Fredericksburg","VA","22408","","Spotsylvania","540-907-0121","","540-907-0121 x0","","http://www.lighthousefredericksburg.com","38.2727688","-77.4959256","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","1","","1","","","","","","1","","1","","1","1","1","","","","","1","","","","","1","1","","","","","","","","","1","","1","","","1","","","1","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAMED Health Group LLC","LU","320 North Hawksbill Street","Suite 204","Luray","VA","22835","","Page","540-215-2211","","","","http://www.vamedicaid.net","38.6696876","-78.4617944","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","","1","","1","1","","1","","1","","1","","","1","1","","","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","","","","","","","1","1","","","","","","","","","1","1","1","1","1","","","","","","","1","1","","","","","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Snowden at Fredericksburg","","1200 Sam Perry Boulevard","","Fredericksburg","VA","22401","","Fredericksburg City","540-741-3900","","","","http://mwhc.com","38.3089259","-77.4822797","SU","1","","","","","","","","","","","","1","","","","","","","","","","","","1","","1","","1","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board","Substance Use Disorder Services","600 Jackson Street","","Fredericksburg","VA","22401","","Fredericksburg City","540-373-3223","","540-373-3223 x2","","http://www.rappahannockareacsb.org","38.2972272","-77.462175","SU","1","","","","1","","1","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","","","","","","1","","","","","1","1","1","1","1","","1","","","","","","","1","","","1","","","1","1","1","","","","","","1","","","","","","","1","1","","","","","","","1","","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","1","1","","","","1","","","","1","","1","1","1","1","","","","","","1","","1","1","1","1","1","1","1","","1","1","","","1","","","1","1","","1","","","1","1","1","","1","","1","1","1","1","","","","1","","1","1","","","","","","1","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Henrico Charles City","New Kent Mental Health","9403 Pocahontas Trail","Suite A","Providence Forge","VA","23140","","New Kent","804-727-8920","","804-727-8515","","http://henrico.us/mhds","37.4409097","-77.0349131","SU","1","1","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","","1","","1","1","","1","","","","","","","1","1","1","1","","1","","","","1","1","","","","1","","1","1","1","","","1","","1","","","","1","","","","","1","1","","","","","","1","","1","1","1","1","","1","","","","","","1","","1","1","1","","1","1","1","","1","","","1","","1","1","","1","1","","1","","1","","1","1","","","","1","","","","","","","1","","1","1","","","","","","","","","1","","","","1","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Sussex Counseling Services","","20 West Bank Street","","Petersburg","VA","23803","","Petersburg City","804-863-8002","Intakes","804-834-2205 x101","434-348-8900","http://www.d19csb.com","37.0298196","-77.0974259","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","","1","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","1","","","","1","","","","","1","1","","","1","","","","","1","1","","1","","","","","","","","1","","1","1","1","","1","1","","","1","","","1","","","","","1","","","","","","","","","","","","1","","","1","","","1","","","1","1","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
